DATE,AWND,PRCP,TMAX,TMIN,TOBS,BEAUFORT_SCALE,PRCP_SCALE,MEAN_TEMP
2020-06-04,2.814285714285714,7.146666666666666,28.607142857142858,17.314285714285713,18.883333333333333,Light Breeze,Slight,21.6015873015873
2020-06-05,2.814285714285714,9.126373626373626,27.86428571428571,18.978571428571428,19.98333333333333,Light Breeze,Slight,22.275396825396825
2020-06-06,3.657142857142858,9.688636363636364,29.007142857142863,19.407142857142862,21.08,Gentle Breeze,Slight,23.164761904761907
2020-06-07,4.871428571428572,2.7738095238095237,27.864285714285717,16.307142857142857,17.560000000000002,Gentle Breeze,Slight,20.57714285714286
2020-06-08,3.2428571428571433,0.003529411764705882,26.150000000000006,13.257142857142854,14.449999999999998,Light Breeze,Slight,17.952380952380953
2020-06-09,3.4142857142857146,0.0,28.821428571428573,15.242857142857144,17.500000000000004,Gentle Breeze,Slight,20.521428571428572
2020-06-10,4.228571428571429,0.0,29.835714285714282,18.214285714285715,20.55,Gentle Breeze,Slight,22.866666666666664
2020-06-11,4.714285714285714,1.1439560439560439,28.535714285714285,19.99285714285714,21.766666666666666,Gentle Breeze,Slight,23.43174603174603
2020-06-12,3.3428571428571425,6.70561797752809,28.614285714285717,19.24285714285714,19.7,Light Breeze,Slight,22.519047619047623
2020-06-13,4.4,0.013253012048192772,26.428571428571427,14.450000000000001,15.319999999999999,Gentle Breeze,Slight,18.732857142857142
2020-06-14,2.957142857142857,0.0,23.292857142857144,11.235714285714284,12.120000000000001,Light Breeze,Slight,15.54952380952381
2020-06-15,2.885714285714286,0.0,23.614285714285717,12.657142857142858,14.549999999999997,Light Breeze,Slight,16.94047619047619
2020-06-16,3.2714285714285714,0.0,24.45714285714286,13.37857142857143,15.75,Light Breeze,Slight,17.861904761904764
2020-06-17,3.4714285714285715,0.0,25.614285714285717,14.164285714285715,15.466666666666665,Gentle Breeze,Slight,18.415079365079364
2020-06-18,2.8428571428571425,0.035164835164835165,25.3,16.821428571428573,18.433333333333334,Light Breeze,Slight,20.184920634920633
2020-06-19,2.5125,0.350561797752809,27.11428571428572,17.72857142857143,19.166666666666668,Light Breeze,Slight,21.336507936507942
2020-06-20,2.2,0.7174418604651163,28.971428571428568,18.564285714285713,20.166666666666668,Light Breeze,Slight,22.567460317460316
2020-06-21,2.4,1.1573170731707318,29.72857142857143,19.085714285714285,20.833333333333332,Light Breeze,Slight,23.215873015873015
2020-06-22,3.0375,0.017241379310344827,31.478571428571428,20.52142857142857,22.033333333333335,Light Breeze,Slight,24.677777777777777
2020-06-23,3.4499999999999997,0.046590909090909086,31.242857142857144,21.071428571428573,22.599999999999998,Gentle Breeze,Slight,24.97142857142857
2020-06-24,3.9250000000000003,0.051162790697674425,30.714285714285715,22.37857142857143,24.066666666666663,Gentle Breeze,Slight,25.719841269841268
2020-06-25,2.65,0.012195121951219513,30.685714285714283,19.835714285714285,21.033333333333335,Light Breeze,Slight,23.8515873015873
2020-06-26,3.0375000000000005,0.09404761904761905,30.650000000000006,18.77142857142857,20.183333333333334,Light Breeze,Slight,23.201587301587306
2020-06-27,2.3375,0.44367816091954027,29.221428571428568,18.89285714285714,20.660000000000004,Light Breeze,Slight,22.924761904761905
2020-06-28,2.075,4.142391304347826,30.20714285714286,20.314285714285713,21.759999999999998,Light Breeze,Slight,24.093809523809522
2020-06-29,3.3375,4.368131868131868,31.592857142857145,20.064285714285713,21.21666666666667,Light Breeze,Slight,24.29126984126984
2020-06-30,2.425,1.6747252747252748,28.45,18.792857142857144,19.433333333333334,Light Breeze,Slight,22.225396825396828
2020-07-01,2.0375,4.49,27.03571428571428,18.785714285714285,20.349999999999998,Light Breeze,Slight,22.057142857142853
